time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V 	Vb = 9 V 	Vb = 9.2 V 	Vb = 9.5 V 
1.79E-4	1496365.50841004	1399330.55532509	1338916.16335222	1254057.86247079
1.8E-4	1495465.62422846	1398465.14978523	1338072.56581024	1253244.74549932
1.81E-4	1494571.03583633	1397604.84793846	1337233.94398678	1252436.42079449
1.82E-4	1493681.68324452	1396749.59177254	1336400.2412718	1251632.83381561
1.83E-4	1492797.50746568	1395899.32424782	1335571.40200547	1250833.93093815
1.84E-4	1491918.45049214	1395053.98927568	1334747.37145717	1250039.65943348
1.85E-4	1491044.45527451	1394213.53169769	1333928.09580502	1249249.96744911
1.86E-4	1490175.46570079	1393377.89726526	1333113.522116	1248464.8039895
1.87E-4	1489311.42657608	1392547.03261981	1332303.59832658	1247684.11889737
1.88E-4	1488452.28360282	1391720.8852736	1331498.27322391	1246907.86283552
1.89E-4	1487597.98336155	1390899.4035909	1330697.49642745	1246135.98726918
1.9E-4	1486748.47329223	1390082.53676983	1329901.21837117	1245368.44444876
1.91E-4	1485903.70167597	1389270.23482457	1329109.39028617	1244605.18739311
1.92E-4	1485063.61761729	1388462.44856807	1328321.96418378	1243846.16987322
1.93E-4	1484228.17102687	1387659.12959524	1327538.8928391	1243091.3463963
1.94E-4	1483397.31260469	1386860.23026655	1326760.12977493	1242340.67219035
1.95E-4	1482570.99382364	1386065.70369205	1325985.62924624	1241594.10318909
1.96E-4	1481749.16691356	1385275.50371585	1325215.34622486	1240851.59601725
1.97E-4	1480931.78484563	1384489.58490091	1324449.23638473	1240113.10797632
1.98E-4	1480118.80131725	1383707.90251434	1323687.25608744	1239378.59703061
1.99E-4	1479310.17073722	1382930.41251296	1322929.36236815	1238648.02179363
2E-4	1478505.84821137	1382157.0715293	1322175.5129219	1237921.34151493
2.01E-4	1477705.78952846	1381387.83685792	1321425.6660902	1237198.51606717
2.02E-4	1476909.9511465	1380622.66644208	1320679.78084805	1236479.50593352
2.03E-4	1476118.2901794	1379861.51886073	1319937.81679118	1235764.27219546
2.04E-4	1475330.76438395	1379104.35331587	1319199.73412372	1235052.77652079
2.05E-4	1474547.33214707	1378351.12962016	1318465.49364604	1234344.98115199
2.06E-4	1473767.95247348	1377601.80818486	1317735.05674303	1233640.84889484
2.07E-4	1472992.58497352	1376856.35000811	1317008.38537257	1232940.34310733
2.08E-4	1472221.18985143	1376114.7166634	1316285.44205432	1232243.42768887
2.09E-4	1471453.72789381	1375376.8702884	1315566.18985876	1231550.06706967
2.1E-4	1470690.16045834	1374642.77357402	1314850.59239654	1230860.22620053
2.11E-4	1469930.44946286	1373912.38975379	1314138.61380802	1230173.87054269
2.12E-4	1469174.55737463	1373185.68259337	1313430.21875312	1229490.96605809
2.13E-4	1468422.44719992	1372462.61638047	1312725.37240139	1228811.47919974
2.14E-4	1467674.08247373	1371743.15591487	1312024.04042228	1228135.37690243
2.15E-4	1466929.42724989	1371027.26649874	1311326.1889757	1227462.62657352
2.16E-4	1466188.44609127	1370314.91392723	1310631.7847028	1226793.19608409
2.17E-4	1465451.1040603	1369606.06447916	1309940.79471685	1226127.0537602
2.18E-4	1464717.36670969	1368900.68490804	1309253.18659453	1225464.16837441
2.19E-4	1463987.20007332	1368198.74243323	1308568.92836722	1224804.50913742
2.2E-4	1463260.57065741	1367500.20473134	1307887.98851267	1224148.04569003
2.21E-4	1462537.44543183	1366805.03992781	1307210.33594669	1223494.74809514
2.22E-4	1461817.79182163	1366113.2165887	1306535.94001519	1222844.58683005
2.23E-4	1461101.57769879	1365424.70371261	1305864.77048625	1222197.53277886
2.24E-4	1460388.77137411	1364739.47072288	1305196.79754254	1221553.55722508
2.25E-4	1459679.34158932	1364057.48745988	1304531.99177372	1220912.63184441
2.26E-4	1458973.25750931	1363378.72417349	1303870.32416917	1220274.72869763
2.27E-4	1458270.48871463	1362703.15151581	1303211.76611081	1219639.82022375
2.28E-4	1457571.00519404	1362030.74053394	1302556.28936606	1219007.87923318
2.29E-4	1456874.77733732	1361361.46266297	1301903.86608101	1218378.87890117
2.3E-4	1456181.77592819	1360695.28971913	1301254.46877374	1217752.79276133
2.31E-4	1455491.97213739	1360032.19389308	1300608.07032769	1217129.59469933
2.32E-4	1454805.33751591	1359372.14774335	1299964.64398531	1216509.25894666
2.33E-4	1454121.84398839	1358715.12418986	1299324.16334178	1215891.76007465
2.34E-4	1453441.46384664	1358061.09650774	1298686.60233885	1215277.07298852
2.35E-4	1452764.16974327	1357410.03832107	1298051.93525883	1214665.17292159
2.36E-4	1452089.93468555	1356761.92359697	1297420.13671874	1214056.03542961
2.37E-4	1451418.73202929	1356116.72663963	1296791.18166455	1213449.63638525
2.38E-4	1450750.53547292	1355474.42208457	1296165.04536554	1212845.95197262
2.39E-4	1450085.31905167	1354834.98489303	1295541.7034088	1212244.95868203
2.4E-4	1449423.0571319	1354198.39034643	1294921.13169386	1211646.63330473
2.41E-4	1448763.72440549	1353564.61404096	1294303.30642735	1211050.95292785
2.42E-4	1448107.29588443	1352933.63188226	1293688.2041179	1210457.89492941
2.43E-4	1447453.74689541	1352305.42008033	1293075.80157105	1209867.43697346
2.44E-4	1446803.05307468	1351679.95514434	1292466.07588428	1209279.55700528
2.45E-4	1446155.19036282	1351057.21387776	1291859.00444218	1208694.23324673
2.46E-4	1445510.13499982	1350437.17337343	1291254.56491171	1208111.44419165
2.47E-4	1444867.8635201	1349819.81100881	1290652.7352375	1207531.16860136
2.48E-4	1444228.35274771	1349205.10444135	1290053.49363734	1206953.3855003
2.49E-4	1443591.57979161	1348593.03160384	1289456.81859766	1206378.07417172
2.5E-4	1442957.52204107	1347983.5707	1288862.68886922	1205805.21415343
2.51E-4	1442326.1571611	1347376.70020005	1288271.08346276	1205234.7852337
2.52E-4	1441697.46308804	1346772.39883641	1287681.98164484	1204666.7674472
2.53E-4	1441071.4180252	1346170.64559951	1287095.36293371	1204101.14107104
2.54E-4	1440448.00043859	1345571.41973362	1286511.20709526	1203537.88662085
2.55E-4	1439827.18905275	1344974.70073283	1285929.49413909	1202976.98484703
2.56E-4	1439208.96284666	1344380.46833706	1285350.20431461	1202418.41673094
2.57E-4	1438593.30104969	1343788.70252818	1284773.31810727	1201862.16348131
2.58E-4	1437980.1831377	1343199.3835262	1284198.81623482	1201308.2065306
2.59E-4	1437369.58882916	1342612.4917855	1283626.67964363	1200756.52753149
2.6E-4	1436761.49808136	1342028.00799121	1283056.88950515	1200207.10835344
2.61E-4	1436155.89108671	1341445.91305555	1282489.4272124	1199659.93107933
2.62E-4	1435552.74826909	1340866.18811438	1281924.27437648	1199114.97800207
2.63E-4	1434952.0502803	1340288.81452367	1281361.41282324	1198572.23162143
2.64E-4	1434353.77799649	1339713.77385615	1280800.82458996	1198031.67464078
2.65E-4	1433757.91251484	1339141.04789796	1280242.49192208	1197493.28996401
2.66E-4	1433164.43515006	1338570.61864542	1279686.39727002	1196957.06069244
2.67E-4	1432573.32743117	1338002.46830177	1279132.52328607	1196422.97012178
2.68E-4	1431984.57109825	1337436.57927408	1278580.85282132	1195891.00173924
2.69E-4	1431398.14809919	1336872.93417015	1278031.36892264	1195361.13922056
2.7E-4	1430814.04058666	1336311.51579548	1277484.05482971	1194833.36642721
2.71E-4	1430232.23091496	1335752.30715029	1276938.89397218	1194307.66740359
2.72E-4	1429652.70163706	1335195.29142666	1276395.86996677	1193784.02637427
2.73E-4	1429075.43550164	1334640.45200559	1275854.96661449	1193262.42774134
2.74E-4	1428500.41545018	1334087.77245426	1275316.16789794	1192742.85608173
2.75E-4	1427927.62461412	1333537.23652326	1274779.45797856	1192225.29614465
