time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0.0575	16390	12050
0.05755	16390	12060
0.0576	16390	12070
0.05765	16390	12080
0.0577	16390	12090
0.05775	16390	12100
0.0578	16390	12110
0.05785	16390	12120
0.0579	16390	12130
0.05795	16390	12140
0.058	16390	12150
0.05805	16390	12160
0.0581	16390	12170
0.05815	16390	12180
0.0582	16390	12190
0.05825	16390	12200
0.0583	16390	12210
0.05835	16390	12220
0.0584	16390	12230
0.05845	16390	12240
0.0585	16390	12250
0.05855	16390	12260
0.0586	16390	12270
0.05865	16390	12280
0.0587	16390	12290
0.05875	16390	12300
0.0588	16390	12310
0.05885	16390	12320
0.0589	16390	12330
0.05895	16390	12340
0.059	16390	12350
0.05905	16390	12360
0.0591	16390	12370
0.05915	16390	12380
0.0592	16390	12390
0.05925	16390	12400
0.0593	16390	12410
0.05935	16390	12420
0.0594	16390	12440
0.05945	16390	12450
0.0595	16390	12460
0.05955	16390	12470
0.0596	16390	12480
0.05965	16390	12490
0.0597	16390	12500
0.05975	16390	12510
0.0598	16390	12520
0.05985	16390	12530
0.0599	16390	12550
0.05995	16390	12560
0.06	16390	12570
0.06005	16390	12580
0.0601	16390	12590
0.06015	16390	12600
0.0602	16390	12610
0.06025	16390	12620
0.0603	16390	12640
0.06035	16390	12650
0.0604	16390	12660
0.06045	16390	12670
0.0605	16390	12680
0.06055	16390	12690
0.0606	16390	12700
0.06065	16390	12720
0.0607	16390	12730
0.06075	16390	12740
0.0608	16390	12750
0.06085	16390	12760
0.0609	16390	12770
0.06095	16390	12790
0.061	16390	12800
0.06105	16390	12810
0.0611	16390	12820
0.06115	16390	12830
0.0612	16390	12840
0.06125	16390	12860
0.0613	16390	12870
0.06135	16390	12880
0.0614	16390	12890
0.06145	16390	12900
0.0615	16390	12910
0.06155	16390	12930
0.0616	16390	12940
0.06165	16390	12950
