time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
5.34534534534535E-4	3128294.61480048	2598965.55677318	2193831.25905528	1912418.83003238
5.35535535535535E-4	3129143.05327105	2599787.70744228	2194599.03119931	1913108.3204563
5.36536536536537E-4	3129989.92975495	2600608.39133397	2195365.52402884	1913796.66945743
5.37537537537538E-4	3130835.12566723	2601427.51542587	2196130.74180013	1914483.98995727
5.38538538538539E-4	3131679.01969395	2602245.37965463	2196894.68874824	1915170.28502471
5.39539539539539E-4	3132521.24453593	2603061.69444895	2197657.36908718	1915855.55771495
5.40540540540541E-4	3133361.93016546	2603876.46547182	2198418.66904008	1916539.91992872
5.41541541541542E-4	3134201.08219827	2604689.99101254	2199178.94668907	1917223.15681407
5.42542542542542E-4	3135038.7062194	2605501.88560256	2199937.73469492	1917905.38040676
5.43543543543543E-4	3135874.80778345	2606312.44695921	2200695.50790177	1918586.59370793
5.44544544544545E-4	3136709.3924148	2607121.58256352	2201451.80048265	1919266.79970539
5.45545545545546E-4	3137542.5881338	2607929.29742237	2202206.96869061	1919946.10942983
5.46546546546546E-4	3138374.1551317	2608735.59651635	2202960.89920854	1920624.30957127
5.47547547547548E-4	3139204.22159156	2609540.48479989	2203713.59608683	1921301.51129382
5.48548548548549E-4	3140032.67105448	2610343.96720146	2204465.06335606	1921977.71753284
5.4954954954955E-4	3140859.87449045	2611145.95243088	2205215.30502705	1922653.03863285
5.5055055055055E-4	3141685.47165341	2611946.73394382	2205964.32509106	1923327.26250186
5.51551551551552E-4	3142509.58972663	2612745.93215451	2206712.12751986	1924000.39250866
5.52552552552553E-4	3143332.23400032	2613543.83996607	2207458.7162659	1924672.75286106
5.53553553553554E-4	3144153.40973639	2614340.36615429	2208203.97977543	1925344.02510681
5.54554554554554E-4	3144973.12216858	2615135.51549562	2208948.26842352	1926014.42585273
5.55555555555556E-4	3145791.37650272	2615929.29274178	2209691.1245302	1926683.74451019
5.56556556556557E-4	3146608.29805184	2616721.70261994	2210433.01280144	1927352.09070872
5.57557557557558E-4	3147423.6514839	2617512.74983289	2211173.59175219	1928019.46727001
5.58558558558558E-4	3148237.56227054	2618302.34435124	2211912.86577608	1928685.87700349
5.5955955955956E-4	3149050.03550785	2619090.77495333	2212651.1823724	1929351.42857561
5.60560560560561E-4	3149861.07626493	2619877.66776178	2213388.08747177	1930015.80716383
5.61561561561561E-4	3150670.68958416	2620663.31102083	2214123.92798579	1930679.43871287
5.62562562562563E-4	3151478.88048129	2621447.61476802	2214858.59330435	1931342.00883463
5.63563563563564E-4	3152285.65394571	2622230.58356328	2215592.08717523	1932003.62599465
5.64564564564565E-4	3153091.01494061	2623012.2219433	2216324.4133283	1932664.39803974
5.65565565565565E-4	3153894.96840315	2623792.53442168	2217055.57547566	1933324.01236699
5.66566566566567E-4	3154697.51924464	2624571.52548908	2217785.57731172	1933982.89182731
5.67567567567568E-4	3155498.79018611	2625349.1063452	2218514.42251334	1934640.72424636
5.68568568568569E-4	3156298.5502123	2626125.56123987	2219242.11473993	1935297.72178308
5.69569569569569E-4	3157096.92219884	2626900.52183718	2219968.54506268	1935953.67794866
5.70570570570571E-4	3157893.91095547	2627674.27187033	2220694.05481905	1936608.59585751
5.71571571571572E-4	3158689.52126697	2628446.72260673	2221418.19768747	1937262.79080214
5.72572572572573E-4	3159483.75789333	2629217.87840268	2222141.42647953	1937915.95279128
5.73573573573574E-4	3160276.62556994	2629987.7435926	2222863.29625431	1938568.29243978
5.74574574574575E-4	3161068.12900772	2630756.32248919	2223584.14669003	1939219.50106293
5.75575575575576E-4	3161858.27289335	2631523.61938357	2224303.8692866	1939869.99605522
5.76576576576577E-4	3162647.06188937	2632289.54667389	2225022.46756772	1940519.46915019
5.77577577577578E-4	3163434.5006344	2633054.38422313	2225739.94504061	1941168.02655945
5.78578578578579E-4	3164220.70936547	2633817.76907709	2226456.30519612	1941815.77390048
5.7957957957958E-4	3165005.46123228	2634579.98059879	2227171.55150879	1942462.40462354
5.8058058058058E-4	3165788.87662256	2635340.93125464	2227885.68743701	1943108.33315257
5.81581581581582E-4	3166570.96008074	2636100.62520925	2228598.71642305	1943753.25335055
5.82582582582583E-4	3167351.71612816	2636859.06660664	2229310.64189323	1944397.27064705
5.83583583583584E-4	3168131.14926312	2637616.25957035	2230021.46725797	1945040.38756672
5.84584584584585E-4	3168909.26396114	2638372.2082036	2230731.19591192	1945682.6066236
5.85585585585586E-4	3169686.06467504	2639126.82607332	2231439.72143562	1946324.03235543
5.86586586586587E-4	3170461.55583514	2639880.38879078	2232147.37658762	1946964.46304494
5.87587587587588E-4	3171235.74184936	2640632.53863037	2232853.7258592	1947604.00335136
5.88588588588589E-4	3172008.74078461	2641383.55071923	2233559.21076542	1948242.65574703
5.8958958958959E-4	3172780.32945167	2642133.33869294	2234263.39711275	1948880.42269401
5.90590590590591E-4	3173550.6260646	2642881.90653552	2234966.61608419	1949517.40797245
5.91591591591592E-4	3174319.63494336	2643629.25821155	2235668.76167289	1950153.41122738
5.92592592592593E-4	3175087.36038627	2644375.39766634	2236369.83715062	1950788.63740772
5.93593593593594E-4	3175853.80667016	2645120.32882601	2237069.84577426	1951422.78578892
5.94594594594595E-4	3176618.97805054	2645863.96639757	2237768.79078582	1952056.26269913
5.95595595595596E-4	3177382.87876171	2646606.58186946	2238466.67541256	1952688.76781151
5.96596596596597E-4	3178145.51301689	2647347.82259796	2239163.50286708	1953320.40442717
5.97597597597598E-4	3178906.8850084	2648087.95960243	2239859.27634738	1953951.17492792
5.98598598598599E-4	3179666.99890778	2648826.99628619	2240553.89139264	1954581.08168577
5.995995995996E-4	3180425.97048586	2649564.67058076	2241247.67410505	1955210.22714507
6.00600600600601E-4	3181183.58044944	2650301.25216369	2241940.30470635	1955838.41335775
6.01601601601602E-4	3181939.94471277	2651036.56798209	2242631.89398147	1956465.7428858
6.02602602602603E-4	3182695.0673656	2651770.88640311	2243322.44505686	1957092.21806263
6.03603603603604E-4	3183448.95247759	2652503.85863801	2244011.85420669	1957717.84121214
6.04604604604605E-4	3184201.60409842	2653235.75259611	2244700.44504396	1958342.71405159
6.05605605605606E-4	3184953.02625792	2653966.5715636	2245387.79361947	1958966.63994558
6.06606606606607E-4	3185703.22296621	2654696.05630032	2246074.22303918	1959589.72072768
