time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
3.41E-4	1573661.94375625	1991447.89866687	2465186.29291388	2890977.08511537
3.42E-4	1574643.31203929	1993028.66279529	2467003.18824485	2892715.64526717
3.43E-4	1575623.7000818	1994606.32036749	2468814.93458307	2894448.4237477
3.44E-4	1576603.10937963	1996180.88122799	2470621.55658421	2896175.45411661
3.45E-4	1577581.54142575	1997752.35518002	2472423.07874172	2897896.76965985
3.46E-4	1578558.9977103	1999320.75198579	2474219.52538816	2899612.40339262
3.47E-4	1579535.47972058	2000886.08136666	2476010.92069653	2901322.38806212
3.48E-4	1580510.98894104	2002448.35300337	2477797.28868159	2903026.75615035
3.49E-4	1581485.52685333	2004007.57653622	2479578.65320115	2904725.53987688
3.5E-4	1582459.09493623	2005563.7615653	2481355.03795736	2906418.77120151
3.51E-4	1583431.69466574	2007116.91765067	2483126.46649796	2908106.48182698
3.52E-4	1584403.32751503	2008667.05431258	2484892.9622176	2909788.70320159
3.53E-4	1585373.99495447	2010214.18103166	2486654.54835902	2911465.46652187
3.54E-4	1586343.69845164	2011758.3072491	2488411.24801435	2913136.80273506
3.55E-4	1587312.43947131	2013299.44236689	2490163.08412629	2914802.74254173
3.56E-4	1588280.21947546	2014837.59574799	2491910.07948934	2916463.31639828
3.57E-4	1589247.0399233	2016372.77671651	2493652.256751	2918118.55451941
3.58E-4	1590212.90227127	2017904.99455795	2495389.63841298	2919768.48688056
3.59E-4	1591177.80797302	2019434.25851936	2497122.24683233	2921413.14322038
3.6E-4	1592141.75847944	2020960.57780952	2498850.10422267	2923052.55304307
3.61E-4	1593104.75523867	2022483.96159917	2500573.23265528	2924686.74562077
3.62E-4	1594066.7996961	2024004.41902117	2502291.65406031	2926315.74999591
3.63E-4	1595027.89329436	2025521.95917071	2504005.39022785	2927939.59498347
3.64E-4	1595988.03747335	2027036.59110548	2505714.46280913	2929558.30917328
3.65E-4	1596947.23367022	2028548.32384586	2507418.89331753	2931171.92093232
3.66E-4	1597905.48331941	2030057.16637511	2509118.7031298	2932780.45840684
3.67E-4	1598862.78785263	2031563.12763957	2510813.91348704	2934383.94952465
3.68E-4	1599819.14869885	2033066.21654879	2512504.54549587	2935982.42199725
3.69E-4	1600774.56728437	2034566.44197581	2514190.62012945	2937575.90332197
3.7E-4	1601729.04503276	2036063.81275721	2515872.15822853	2939164.42078409
3.71E-4	1602682.58336487	2037558.33769343	2517549.18050257	2940748.00145895
3.72E-4	1603635.18369889	2039050.02554884	2519221.70753069	2942326.67221399
3.73E-4	1604586.84745031	2040538.88505196	2520889.75976278	2943900.45971083
3.74E-4	1605537.57603192	2042024.92489567	2522553.35752045	2945469.39040723
3.75E-4	1606487.37085386	2043508.15373732	2524212.52099812	2947033.49055916
3.76E-4	1607436.23332357	2044988.58019896	2525867.27026394	2948592.78622271
3.77E-4	1608384.16484584	2046466.21286749	2527517.62526084	2950147.30325605
3.78E-4	1609331.16682281	2047941.06029483	2529163.60580749	2951697.06732138
3.79E-4	1610277.24065393	2049413.13099811	2530805.2315993	2953242.10388681
3.8E-4	1611222.38773604	2050882.43345984	2532442.52220932	2954782.43822824
3.81E-4	1612166.6094633	2052348.97612804	2534075.49708928	2956318.09543122
3.82E-4	1613109.90722727	2053812.76741648	2535704.17557047	2957849.10039278
3.83E-4	1614052.28241685	2055273.8157048	2537328.57686472	2959375.47782327
3.84E-4	1614993.73641831	2056732.12933867	2538948.72006531	2960897.25224812
