time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
2.04204204204204E-5	215.241251702665	250.709832621499	296.130079628712	351.525840810237	416.923427751472	492.339996070215	577.698371244716	672.147476434466
2.04444444444444E-5	215.238534137592	250.70616095548	296.125222785823	351.519545358418	416.915431993176	492.330087991127	577.686723766569	672.136974036604
2.04684684684685E-5	215.235831912124	250.702508444235	296.120389335686	351.513277873624	416.907468968099	492.32021725285	577.675116581231	672.126504377518
2.04924924924925E-5	215.233144938951	250.698874986616	296.115579163657	351.507038228551	416.899538537678	492.310383708208	577.663549541129	672.116067349148
2.05165165165165E-5	215.230473131269	250.695260482017	296.11079215567	351.5008262965	416.891640563977	492.300587210654	577.652022499287	672.10566284383
2.05405405405405E-5	215.227816402777	250.69166483038	296.10602819824	351.494641951377	416.883774909676	492.290827614266	577.640535309322	672.095290754293
2.05645645645646E-5	215.22517466767	250.688087932186	296.101287178454	351.488485067688	416.875941438075	492.281104773746	577.629087825444	672.084950973656
2.05885885885886E-5	215.222547840642	250.684529688453	296.096568983972	351.482355520535	416.86814001309	492.271418544413	577.61767990245	672.074643395426
2.06126126126126E-5	215.219935836878	250.680990000735	296.091873503021	351.476253185615	416.860370499245	492.261768782205	577.606311395724	672.064367913498
2.06366366366366E-5	215.217338572057	250.677468771116	296.087200624396	351.470177939218	416.852632761676	492.252155343672	577.594982161234	672.054124422154
2.06606606606607E-5	215.21475596234	250.67396590221	296.082550237451	351.46412965822	416.84492666612	492.242578085974	577.583692055525	672.043912816059
2.06846846846847E-5	215.212187924376	250.670481297156	296.077922232102	351.458108220081	416.837252078922	492.233036866881	577.572440935724	672.03373299026
2.07087087087087E-5	215.209634375294	250.667014859615	296.073316498819	351.452113502847	416.82960886702	492.223531544765	577.56122865953	672.023584840186
2.07327327327327E-5	215.207095232703	250.66356649377	296.068732928629	351.446145385139	416.821996897955	492.214061978602	577.550055085215	672.013468261644
2.07567567567568E-5	215.204570414686	250.660136104318	296.064171413105	351.440203746157	416.814416039855	492.204628027964	577.538920071622	672.003383150821
