time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V	Vb = 9 V	Vb = 9.2 V	Vb = 9.5 V
4.24424424424424E-4	1132569.91053951	1190668.29256288	1241535.4514453	1336013.76289668
4.25425425425425E-4	1132189.9801401	1190287.99540486	1241154.9789617	1335633.19664507
4.26426426426426E-4	1131810.95148352	1189908.59964056	1240775.40744094	1335253.530088
4.27427427427427E-4	1131432.82034298	1189530.10104569	1240396.73266177	1334874.75901315
4.28428428428428E-4	1131055.58252134	1189152.49542557	1240018.95043254	1334496.87923773
4.29429429429429E-4	1130679.23385081	1188775.77861489	1239642.05659094	1334119.88660818
4.3043043043043E-4	1130303.77019274	1188399.9464774	1239266.04700367	1333743.7769999
4.31431431431431E-4	1129929.18743726	1188024.99490565	1238890.91756625	1333368.546317
4.32432432432432E-4	1129555.48150309	1187650.91982076	1238516.66420267	1332994.19049201
4.33433433433433E-4	1129182.64833724	1187277.71717209	1238143.2828652	1332620.70548563
4.34434434434434E-4	1128810.68391476	1186905.38293703	1237770.76953409	1332248.08728649
4.35435435435435E-4	1128439.58423847	1186533.91312072	1237399.12021731	1331876.33191084
4.36436436436436E-4	1128069.34533872	1186163.3037558	1237028.33095031	1331505.43540235
4.37437437437437E-4	1127699.96327312	1185793.55090218	1236658.39779576	1331135.39383185
4.38438438438438E-4	1127331.43412632	1185424.65064675	1236289.31684333	1330766.20329704
4.39439439439439E-4	1126963.75400972	1185056.59910315	1235921.08420938	1330397.8599223
4.4044044044044E-4	1126596.91906127	1184689.39241155	1235553.69603678	1330030.35985842
4.41441441441441E-4	1126230.92544521	1184323.02673838	1235187.14849465	1329663.69928235
4.42442442442442E-4	1125865.76935182	1183957.49827611	1234821.43777811	1329297.87439699
4.43443443443443E-4	1125501.44699722	1183592.803243	1234456.56010805	1328932.88143096
4.44444444444444E-4	1125137.95462309	1183228.93788287	1234092.51173091	1328568.71663831
4.45445445445445E-4	1124775.28849647	1182865.89846488	1233729.28891843	1328205.37629838
4.46446446446446E-4	1124413.44490954	1182503.68128331	1233366.88796745	1327842.85671548
4.47447447447447E-4	1124052.42017938	1182142.28265731	1233005.30519966	1327481.15421876
4.48448448448448E-4	1123692.21064772	1181781.6989307	1232644.5369614	1327120.2651619
4.49449449449449E-4	1123332.81268079	1181421.92647172	1232284.5796234	1326760.18592296
4.5045045045045E-4	1122974.22266904	1181062.96167286	1231925.42958063	1326400.91290413
4.51451451451451E-4	1122616.43702695	1180704.8009506	1231567.08325201	1326042.44253152
4.52452452452452E-4	1122259.45219281	1180347.44074523	1231209.53708026	1325684.77125495
4.53453453453453E-4	1121903.26462852	1179990.87752062	1230852.78753166	1325327.89554774
4.54454454454454E-4	1121547.87081936	1179635.107764	1230496.83109584	1324971.81190651
4.55455455455455E-4	1121193.26727383	1179280.12798581	1230141.66428558	1324616.51685097
4.56456456456456E-4	1120839.45052339	1178925.93471942	1229787.28363661	1324262.00692372
4.57457457457457E-4	1120486.4171223	1178572.524521	1229433.68570741	1323908.27869004
4.58458458458458E-4	1120134.16364738	1178219.89396927	1229080.86707902	1323555.3287377
4.59459459459459E-4	1119782.68669788	1177868.03966532	1228728.82435481	1323203.15367677
4.6046046046046E-4	1119431.9828952	1177516.95823244	1228377.55416032	1322851.75013941
4.61461461461461E-4	1119082.04888276	1177166.64631587	1228027.05314306	1322501.11477969
4.62462462462462E-4	1118732.88132581	1176817.10058268	1227677.31797229	1322151.24427341
4.63463463463463E-4	1118384.47691119	1176468.31772151	1227328.34533889	1321802.13531789
4.64464464464464E-4	1118036.83234719	1176120.29444246	1226980.13195512	1321453.78463179
4.65465465465465E-4	1117689.94436336	1175773.02747683	1226632.67455446	1321106.18895494
4.66466466466466E-4	1117343.80971029	1175426.513577	1226285.96989144	1320759.34504816
4.67467467467467E-4	1116998.42515948	1175080.7495162	1225940.01474141	1320413.24969305
4.68468468468468E-4	1116653.78750315	1174735.73208837	1225594.80590044	1320067.89969185
4.69469469469469E-4	1116309.89355402	1174391.45810797	1225250.34018506	1319723.29186722
4.7047047047047E-4	1115966.74014518	1174047.92440978	1224906.61443214	1319379.42306213
4.71471471471471E-4	1115624.32412993	1173705.12784876	1224563.62549872	1319036.29013963
4.72472472472472E-4	1115282.64238155	1173363.0652999	1224221.37026179	1318693.88998269
4.73473473473473E-4	1114941.69179317	1173021.73365798	1223879.84561818	1318352.21949407
4.74474474474474E-4	1114601.46927761	1172681.12983745	1223539.04848435	1318011.27559611
4.75475475475475E-4	1114261.97176719	1172341.25077227	1223198.97579624	1317671.05523057
4.76476476476476E-4	1113923.19621359	1172002.09341572	1222859.62450911	1317331.55535849
4.77477477477477E-4	1113585.13958765	1171663.65474027	1222520.99159737	1316992.77296002
4.78478478478478E-4	1113247.79887925	1171325.93173737	1222183.07405444	1316654.70503425
4.79479479479479E-4	1112911.17109713	1170988.92141735	1221845.86889255	1316317.34859906
4.8048048048048E-4	1112575.25326874	1170652.62080922	1221509.37314263	1315980.70069094
4.81481481481481E-4	1112240.04244009	1170317.02696053	1221173.58385411	1315644.7583649
4.82482482482482E-4	1111905.53567557	1169982.13693721	1220838.49809481	1315309.51869423
4.83483483483483E-4	1111571.73005783	1169647.94782343	1220504.11295077	1314974.97877042
4.84484484484484E-4	1111238.62268759	1169314.45672145	1220170.42552607	1314641.13570296
4.85485485485485E-4	1110906.21068355	1168981.66075144	1219837.43294272	1314307.98661924
4.86486486486486E-4	1110574.49118219	1168649.55705136	1219505.13234052	1313975.52866434
4.87487487487487E-4	1110243.46133762	1168318.14277684	1219173.52087686	1313643.75900095
4.88488488488488E-4	1109913.1183215	1167987.41510096	1218842.59572664	1313312.67480918
4.89489489489489E-4	1109583.45932282	1167657.37121417	1218512.35408206	1312982.27328644
4.9049049049049E-4	1109254.48154779	1167328.00832413	1218182.79315256	1312652.55164729
4.91491491491491E-4	1108926.18221973	1166999.32365558	1217853.91016459	1312323.50712331
4.92492492492493E-4	1108598.55857887	1166671.31445016	1217525.70236155	1311995.13696294
4.93493493493493E-4	1108271.60788225	1166343.97796634	1217198.16700361	1311667.43843138
4.94494494494494E-4	1107945.3274036	1166017.31147921	1216871.30136756	1311340.40881039
4.95495495495495E-4	1107619.71443316	1165691.31228041	1216545.10274672	1311014.04539825
4.96496496496497E-4	1107294.76627758	1165365.97767796	1216219.5684508	1310688.34550954
4.97497497497497E-4	1106970.48025977	1165041.30499612	1215894.69580571	1310363.30647506
4.98498498498498E-4	1106646.85371878	1164717.29157529	1215570.48215351	1310038.92564168
4.99499499499499E-4	1106323.88400968	1164393.93477189	1215246.92485222	1309715.2003722
5.00500500500501E-4	1106001.56850339	1164071.23195816	1214924.02127574	1309392.12804527
5.01501501501501E-4	1105679.90458662	1163749.18052213	1214601.76881368	1309069.70605519
